Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Marpoyan Damai,SMP,2023-2024 Genap,9,5003,2024-01-01
Marpoyan Damai,SMP,2024-2025 Ganjil,10,5055,2024-07-01
Marpoyan Damai,SMP,2024-2025 Genap,11,5081,2025-01-01
Marpoyan Damai,SMP,2025-2026 Ganjil,12,5319,2025-07-01
Marpoyan Damai,SMP,2025-2026 Genap,13,5273,2026-01-01
Payung Sekaki,SMP,2019-2020 Ganjil,0,3624,2019-07-01
Payung Sekaki,SMP,2019-2020 Genap,1,3563,2020-01-01
Payung Sekaki,SMP,2020-2021 Ganjil,2,3574,2020-07-01
Payung Sekaki,SMP,2020-2021 Genap,3,2423,2021-01-01
Payung Sekaki,SMP,2021-2022 Ganjil,4,3467,2021-07-01
Payung Sekaki,SMP,2021-2022 Genap,5,3465,2022-01-01
Payung Sekaki,SMP,2022-2023 Ganjil,6,3874,2022-07-01
Payung Sekaki,SMP,2022-2023 Genap,7,3870,2023-01-01
Payung Sekaki,SMP,2023-2024 Ganjil,8,3827,2023-07-01
Payung Sekaki,SMP,2023-2024 Genap,9,3831,2024-01-01
Payung Sekaki,SMP,2024-2025 Ganjil,10,3454,2024-07-01
Payung Sekaki,SMP,2024-2025 Genap,11,3446,2025-01-01
Payung Sekaki,SMP,2025-2026 Ganjil,12,3530,2025-07-01
Payung Sekaki,SMP,2025-2026 Genap,13,3547,2026-01-01
Pekanbaru Kota,SMP,2019-2020 Ganjil,0,36,2019-07-01
Pekanbaru Kota,SMP,2019-2020 Genap,1,39,2020-01-01
Pekanbaru Kota,SMP,2020-2021 Ganjil,2,22,2020-07-01
Pekanbaru Kota,SMP,2020-2021 Genap,3,16,2021-01-01
Pekanbaru Kota,SMP,2021-2022 Ganjil,4,16,2021-07-01
Pekanbaru Kota,SMP,2021-2022 Genap,5,14,2022-01-01
Rumbai,SMP,2019-2020 Ganjil,0,2714,2019-07-01
Rumbai,SMP,2019-2020 Genap,1,2715,2020-01-01
Rumbai,SMP,2020-2021 Ganjil,2,2824,2020-07-01
Rumbai,SMP,2020-2021 Genap,3,2634,2021-01-01
Rumbai,SMP,2021-2022 Ganjil,4,2709,2021-07-01
Rumbai,SMP,2021-2022 Genap,5,2681,2022-01-01
Rumbai,SMP,2022-2023 Ganjil,6,2651,2022-07-01
Rumbai,SMP,2022-2023 Genap,7,2644,2023-01-01
Rumbai,SMP,2023-2024 Ganjil,8,1455,2023-07-01
Rumbai,SMP,2023-2024 Genap,9,2551,2024-01-01
Rumbai,SMP,2024-2025 Ganjil,10,2646,2024-07-01
Rumbai,SMP,2024-2025 Genap,11,2637,2025-01-01
Rumbai,SMP,2025-2026 Ganjil,12,2836,2025-07-01
Rumbai,SMP,2025-2026 Genap,13,2879,2026-01-01
Rumbai Barat,SMP,2019-2020 Ganjil,0,1199,2019-07-01
Rumbai Barat,SMP,2019-2020 Genap,1,1196,2020-01-01
Rumbai Barat,SMP,2020-2021 Ganjil,2,1182,2020-07-01
Rumbai Barat,SMP,2020-2021 Genap,3,726,2021-01-01
Rumbai Barat,SMP,2021-2022 Ganjil,4,1174,2021-07-01
Rumbai Barat,SMP,2021-2022 Genap,5,1164,2022-01-01
Rumbai Barat,SMP,2023-2024 Ganjil,8,1158,2023-07-01
Rumbai Barat,SMP,2023-2024 Genap,9,1099,2024-01-01
Rumbai Barat,SMP,2024-2025 Ganjil,10,1192,2024-07-01
Rumbai Barat,SMP,2024-2025 Genap,11,1122,2025-01-01
Rumbai Barat,SMP,2025-2026 Ganjil,12,1185,2025-07-01
Rumbai Barat,SMP,2025-2026 Genap,13,1132,2026-01-01
Rumbai Timur,SMP,2019-2020 Ganjil,0,1077,2019-07-01
Rumbai Timur,SMP,2019-2020 Genap,1,1077,2020-01-01
Rumbai Timur,SMP,2020-2021 Ganjil,2,1154,2020-07-01
Rumbai Timur,SMP,2020-2021 Genap,3,770,2021-01-01
Rumbai Timur,SMP,2021-2022 Ganjil,4,1140,2021-07-01
Rumbai Timur,SMP,2021-2022 Genap,5,1123,2022-01-01
Rumbai Timur,SMP,2022-2023 Ganjil,6,2290,2022-07-01
Rumbai Timur,SMP,2022-2023 Genap,7,2286,2023-01-01
Rumbai Timur,SMP,2023-2024 Ganjil,8,2232,2023-07-01
Rumbai Timur,SMP,2023-2024 Genap,9,1109,2024-01-01
Rumbai Timur,SMP,2024-2025 Ganjil,10,1122,2024-07-01
Rumbai Timur,SMP,2024-2025 Genap,11,1110,2025-01-01
Rumbai Timur,SMP,2025-2026 Ganjil,12,1112,2025-07-01
Rumbai Timur,SMP,2025-2026 Genap,13,1101,2026-01-01
Sail,SMP,2019-2020 Ganjil,0,1139,2019-07-01
Sail,SMP,2019-2020 Genap,1,1145,2020-01-01
Sail,SMP,2020-2021 Ganjil,2,1060,2020-07-01
Sail,SMP,2020-2021 Genap,3,1465,2021-01-01
Sail,SMP,2021-2022 Ganjil,4,1062,2021-07-01
Sail,SMP,2021-2022 Genap,5,1062,2022-01-01
Sail,SMP,2022-2023 Ganjil,6,1028,2022-07-01
Sail,SMP,2022-2023 Genap,7,1027,2023-01-01
Sail,SMP,2023-2024 Ganjil,8,1015,2023-07-01
Sail,SMP,2023-2024 Genap,9,1014,2024-01-01
Sail,SMP,2024-2025 Ganjil,10,997,2024-07-01
Sail,SMP,2024-2025 Genap,11,994,2025-01-01
Sail,SMP,2025-2026 Ganjil,12,1028,2025-07-01
Sail,SMP,2025-2026 Genap,13,1019,2026-01-01
Senapelan,SMP,2019-2020 Ganjil,0,2377,2019-07-01
Senapelan,SMP,2019-2020 Genap,1,2373,2020-01-01
Senapelan,SMP,2020-2021 Ganjil,2,2243,2020-07-01
Senapelan,SMP,2020-2021 Genap,3,1491,2021-01-01
Senapelan,SMP,2021-2022 Ganjil,4,2218,2021-07-01
Senapelan,SMP,2021-2022 Genap,5,2188,2022-01-01
Senapelan,SMP,2022-2023 Ganjil,6,2088,2022-07-01
Senapelan,SMP,2022-2023 Genap,7,2082,2023-01-01
Senapelan,SMP,2023-2024 Ganjil,8,1986,2023-07-01
Senapelan,SMP,2023-2024 Genap,9,1986,2024-01-01
Senapelan,SMP,2024-2025 Ganjil,10,1848,2024-07-01
Senapelan,SMP,2024-2025 Genap,11,1838,2025-01-01
Senapelan,SMP,2025-2026 Ganjil,12,1780,2025-07-01
Senapelan,SMP,2025-2026 Genap,13,1783,2026-01-01
Sukajadi,SMP,2019-2020 Ganjil,0,3677,2019-07-01
Sukajadi,SMP,2019-2020 Genap,1,3675,2020-01-01
Sukajadi,SMP,2020-2021 Ganjil,2,3526,2020-07-01
Sukajadi,SMP,2020-2021 Genap,3,2407,2021-01-01
Sukajadi,SMP,2021-2022 Ganjil,4,3618,2021-07-01
Sukajadi,SMP,2021-2022 Genap,5,3608,2022-01-01
Sukajadi,SMP,2022-2023 Ganjil,6,3380,2022-07-01
Sukajadi,SMP,2022-2023 Genap,7,3433,2023-01-01
Sukajadi,SMP,2023-2024 Ganjil,8,3204,2023-07-01
Sukajadi,SMP,2023-2024 Genap,9,3193,2024-01-01
Sukajadi,SMP,2024-2025 Ganjil,10,2927,2024-07-01
Sukajadi,SMP,2024-2025 Genap,11,2928,2025-01-01
Sukajadi,SMP,2025-2026 Ganjil,12,2849,2025-07-01
Sukajadi,SMP,2025-2026 Genap,13,2837,2026-01-01
Tenayan Raya,SMP,2019-2020 Ganjil,0,3535,2019-07-01
Tenayan Raya,SMP,2019-2020 Genap,1,3536,2020-01-01
Tenayan Raya,SMP,2020-2021 Ganjil,2,3636,2020-07-01
Tenayan Raya,SMP,2020-2021 Genap,3,3250,2021-01-01
Tenayan Raya,SMP,2021-2022 Ganjil,4,3656,2021-07-01
Tenayan Raya,SMP,2021-2022 Genap,5,3623,2022-01-01
Tenayan Raya,SMP,2022-2023 Ganjil,6,4360,2022-07-01
Tenayan Raya,SMP,2022-2023 Genap,7,4341,2023-01-01
Tenayan Raya,SMP,2023-2024 Ganjil,8,4127,2023-07-01
Tenayan Raya,SMP,2023-2024 Genap,9,4095,2024-01-01
Tenayan Raya,SMP,2024-2025 Ganjil,10,3547,2024-07-01
Tenayan Raya,SMP,2024-2025 Genap,11,3517,2025-01-01
Tenayan Raya,SMP,2025-2026 Ganjil,12,3603,2025-07-01
Tenayan Raya,SMP,2025-2026 Genap,13,3553,2026-01-01
Tuahmadani,SMP,2019-2020 Ganjil,0,2419,2019-07-01
Tuahmadani,SMP,2019-2020 Genap,1,2414,2020-01-01
Tuahmadani,SMP,2020-2021 Ganjil,2,2829,2020-07-01
Tuahmadani,SMP,2020-2021 Genap,3,1928,2021-01-01
Tuahmadani,SMP,2021-2022 Ganjil,4,2866,2021-07-01
Tuahmadani,SMP,2021-2022 Genap,5,3078,2022-01-01
Tuahmadani,SMP,2023-2024 Ganjil,8,4203,2023-07-01
Tuahmadani,SMP,2023-2024 Genap,9,4213,2024-01-01
Tuahmadani,SMP,2024-2025 Ganjil,10,4643,2024-07-01
Tuahmadani,SMP,2024-2025 Genap,11,4691,2025-01-01
Tuahmadani,SMP,2025-2026 Ganjil,12,4848,2025-07-01
Tuahmadani,SMP,2025-2026 Genap,13,4788,2026-01-01
